Using logfiles ['/home/tgrogers-raid/a/jenkin99/workspace/tion_dev-purdue-integration-LJG2LR7DBT2OIFX77WM5EQLBBIKJYX7ZS2R53E4SI2CHTPBQBM6Q/gpgpu-sim_simulations/util/job_launching/../job_launching/logfiles/sim_log.regress-26635.18.09.23-Sunday.txt']
----------------------------------------------------------------------------------------------------
GPGPU-Sim-build
,backprop-rodinia-2.0-ft/4096___data_result_4096_txt--all_kernels,bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--all_kernels,hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--all_kernels,heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--all_kernels,lud-rodinia-2.0-ft/_v__b__i___data_64_dat--all_kernels,nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--all_kernels,nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--all_kernels,pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--all_kernels,srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_1_150_1_100__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--all_kernels,streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--all_kernels,BlackScholes/NO_ARGS--all_kernels,SobolQRNG/NO_ARGS--all_kernels,alignedTypes/NO_ARGS--all_kernels,asyncAPI/NO_ARGS--all_kernels,bandwidthTest/NO_ARGS--all_kernels,clock/NO_ARGS--all_kernels,convolutionSeparable/NO_ARGS--all_kernels,cppIntegration/NO_ARGS--all_kernels,fastWalshTransform/NO_ARGS--all_kernels,histogram/NO_ARGS--all_kernels,mergeSort/NO_ARGS--all_kernels,reduction/NO_ARGS--all_kernels,scalarProd/NO_ARGS--all_kernels,simpleAtomicIntrinsics/128_16--all_kernels,simpleP2P/NO_ARGS--all_kernels,simpleTemplates/NO_ARGS--all_kernels,simpleVoteIntrinsics/NO_ARGS--all_kernels,simpleZeroCopy/NO_ARGS--all_kernels,sortingNetworks/NO_ARGS--all_kernels,transpose/dimX128_dimY128--all_kernels,vectorAdd/NO_ARGS--all_kernels
TITANX,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0
TITANX-L1ON,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0,gpgpu-sim_git-commit-7d75447aa9a0028f5a26e285c6586d9a0a2fb797_modified_0

----------------------------------------------------------------------------------------------------
gpu_tot_sim_insn\s*=\s*(.*)
,backprop-rodinia-2.0-ft/4096___data_result_4096_txt--final_kernel,bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--final_kernel,hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--final_kernel,heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--final_kernel,lud-rodinia-2.0-ft/_v__b__i___data_64_dat--final_kernel,nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--final_kernel,nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--final_kernel,pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--final_kernel,srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_1_150_1_100__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--final_kernel,streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--final_kernel,BlackScholes/NO_ARGS--final_kernel,SobolQRNG/NO_ARGS--final_kernel,alignedTypes/NO_ARGS--final_kernel,asyncAPI/NO_ARGS--final_kernel,bandwidthTest/NO_ARGS--final_kernel,clock/NO_ARGS--final_kernel,convolutionSeparable/NO_ARGS--final_kernel,cppIntegration/NO_ARGS--final_kernel,fastWalshTransform/NO_ARGS--final_kernel,histogram/NO_ARGS--final_kernel,mergeSort/NO_ARGS--final_kernel,reduction/NO_ARGS--final_kernel,scalarProd/NO_ARGS--final_kernel,simpleAtomicIntrinsics/128_16--final_kernel,simpleP2P/NO_ARGS--final_kernel,simpleTemplates/NO_ARGS--final_kernel,simpleVoteIntrinsics/NO_ARGS--final_kernel,simpleZeroCopy/NO_ARGS--final_kernel,sortingNetworks/NO_ARGS--final_kernel,transpose/dimX128_dimY128--final_kernel,vectorAdd/NO_ARGS--final_kernel
TITANX,10096992,1625698,29812752,4733667,522724,389632,4364332,1359256,9509678,23089572,8251680,13753600,12390752,13631488,NA,1999424,6005760,228,11165696,16349328,10486882,1791972,3194496,67584,NA,2336,7232,NA,2685376,16859136,1051936
TITANX-L1ON,10096992,1625698,29812752,4733667,522724,389632,4364332,1359256,9509678,23089572,8251680,13753600,12390752,13631488,NA,1999424,6005760,228,11165696,16349328,10486882,1791972,3194496,67584,NA,2336,7232,NA,2685376,16859136,1051936

----------------------------------------------------------------------------------------------------
gpgpu_simulation_time\s*=.*\(([0-9]+) sec\).*
