----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,
GPGPU-Sim-build,,,,,,,,,,,,,,,,,,,,,,
CFG,BlackScholes/NO_ARGS--all_kernels,SobolQRNG/NO_ARGS--all_kernels,alignedTypes/NO_ARGS--all_kernels,asyncAPI/NO_ARGS--all_kernels,bandwidthTest/NO_ARGS--all_kernels,clock/NO_ARGS--all_kernels,convolutionSeparable/NO_ARGS--all_kernels,convolutionTexture/NO_ARGS--all_kernels,cppIntegration/NO_ARGS--all_kernels,fastWalshTransform/NO_ARGS--all_kernels,histogram/NO_ARGS--all_kernels,mergeSort/NO_ARGS--all_kernels,reduction/NO_ARGS--all_kernels,scalarProd/NO_ARGS--all_kernels,simpleAtomicIntrinsics/128_16--all_kernels,simpleP2P/NO_ARGS--all_kernels,simpleTemplates/NO_ARGS--all_kernels,simpleVoteIntrinsics/NO_ARGS--all_kernels,simpleZeroCopy/NO_ARGS--all_kernels,sortingNetworks/NO_ARGS--all_kernels,transpose/dimX128_dimY128--all_kernels,vectorAdd/NO_ARGS--all_kernels
TITANV,gpgpu-sim_git-commit-642e1d62ff9925855c937d272219e8cc1ad4e9fc_modified_0,gpgpu-sim_git-commit-642e1d62ff9925855c937d272219e8cc1ad4e9fc_modified_0,gpgpu-sim_git-commit-642e1d62ff9925855c937d272219e8cc1ad4e9fc_modified_0,gpgpu-sim_git-commit-642e1d62ff9925855c937d272219e8cc1ad4e9fc_modified_0,gpgpu-sim_git-commit-642e1d62ff9925855c937d272219e8cc1ad4e9fc_modified_0,gpgpu-sim_git-commit-642e1d62ff9925855c937d272219e8cc1ad4e9fc_modified_0,gpgpu-sim_git-commit-642e1d62ff9925855c937d272219e8cc1ad4e9fc_modified_0,gpgpu-sim_git-commit-642e1d62ff9925855c937d272219e8cc1ad4e9fc_modified_0,gpgpu-sim_git-commit-642e1d62ff9925855c937d272219e8cc1ad4e9fc_modified_0,gpgpu-sim_git-commit-642e1d62ff9925855c937d272219e8cc1ad4e9fc_modified_0,gpgpu-sim_git-commit-642e1d62ff9925855c937d272219e8cc1ad4e9fc_modified_0,gpgpu-sim_git-commit-642e1d62ff9925855c937d272219e8cc1ad4e9fc_modified_0,gpgpu-sim_git-commit-642e1d62ff9925855c937d272219e8cc1ad4e9fc_modified_0,gpgpu-sim_git-commit-642e1d62ff9925855c937d272219e8cc1ad4e9fc_modified_0,gpgpu-sim_git-commit-642e1d62ff9925855c937d272219e8cc1ad4e9fc_modified_0,gpgpu-sim_git-commit-642e1d62ff9925855c937d272219e8cc1ad4e9fc_modified_0,gpgpu-sim_git-commit-642e1d62ff9925855c937d272219e8cc1ad4e9fc_modified_0,gpgpu-sim_git-commit-642e1d62ff9925855c937d272219e8cc1ad4e9fc_modified_0,gpgpu-sim_git-commit-642e1d62ff9925855c937d272219e8cc1ad4e9fc_modified_0,gpgpu-sim_git-commit-642e1d62ff9925855c937d272219e8cc1ad4e9fc_modified_0,gpgpu-sim_git-commit-642e1d62ff9925855c937d272219e8cc1ad4e9fc_modified_0,gpgpu-sim_git-commit-642e1d62ff9925855c937d272219e8cc1ad4e9fc_modified_0
----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,
gpu_tot_sim_insn\s*=\s*(.*),,,,,,,,,,,,,,,,,,,,,,
CFG,BlackScholes/NO_ARGS--final_kernel,SobolQRNG/NO_ARGS--final_kernel,alignedTypes/NO_ARGS--final_kernel,asyncAPI/NO_ARGS--final_kernel,bandwidthTest/NO_ARGS--final_kernel,clock/NO_ARGS--final_kernel,convolutionSeparable/NO_ARGS--final_kernel,convolutionTexture/NO_ARGS--final_kernel,cppIntegration/NO_ARGS--final_kernel,fastWalshTransform/NO_ARGS--final_kernel,histogram/NO_ARGS--final_kernel,mergeSort/NO_ARGS--final_kernel,reduction/NO_ARGS--final_kernel,scalarProd/NO_ARGS--final_kernel,simpleAtomicIntrinsics/128_16--final_kernel,simpleP2P/NO_ARGS--final_kernel,simpleTemplates/NO_ARGS--final_kernel,simpleZeroCopy/NO_ARGS--final_kernel,sortingNetworks/NO_ARGS--final_kernel,transpose/dimX128_dimY128--final_kernel,vectorAdd/NO_ARGS--final_kernel
TITANV,8251680,13753600,12334592,13631488,NA,1999424,6005760,3502080,228,11165696,16349328,10462306,1791972,3194496,67584,NA,2336,NA,2685376,16859136,1051936
----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,
gpgpu_simulation_time\s*=.*\(([0-9]+) sec\).*,,,,,,,,,,,,,,,,,,,,,,
CFG,BlackScholes/NO_ARGS--final_kernel,SobolQRNG/NO_ARGS--final_kernel,alignedTypes/NO_ARGS--final_kernel,asyncAPI/NO_ARGS--final_kernel,bandwidthTest/NO_ARGS--final_kernel,clock/NO_ARGS--final_kernel,convolutionSeparable/NO_ARGS--final_kernel,convolutionTexture/NO_ARGS--final_kernel,cppIntegration/NO_ARGS--final_kernel,fastWalshTransform/NO_ARGS--final_kernel,histogram/NO_ARGS--final_kernel,mergeSort/NO_ARGS--final_kernel,reduction/NO_ARGS--final_kernel,scalarProd/NO_ARGS--final_kernel,simpleAtomicIntrinsics/128_16--final_kernel,simpleP2P/NO_ARGS--final_kernel,simpleTemplates/NO_ARGS--final_kernel,simpleZeroCopy/NO_ARGS--final_kernel,sortingNetworks/NO_ARGS--final_kernel,transpose/dimX128_dimY128--final_kernel,vectorAdd/NO_ARGS--final_kernel
TITANV,37,60,144,133,NA,16,88,36,2,71,150,105,25,28,23,NA,4,NA,42,130,15
